"","rok","sport","disciplina","medaile","stat","jmena","vysledek"
"682","2002","Speed Skating","5000m","zlato","NED","Jochem UYTDEHAAGE","00:06:14.66"
"683","2002","Speed Skating","5000m","stříbro","USA","Derek PARRA","00:06:17.98"
"684","2002","Speed Skating","5000m","bronz","GER","Jens BODEN","00:06:21.73"
"685","2002","Speed Skating","5000m","zlato","GER","Claudia PECHSTEIN","00:06:46.91"
"686","2002","Speed Skating","5000m","stříbro","NED","Gretha SMIT","00:06:49.22"
"687","2002","Speed Skating","5000m","bronz","CAN","Clara HUGHES","00:06:53.53"
"688","2002","Speed Skating","10000m","zlato","NED","Jochem UYTDEHAAGE","00:12:58.92"
"689","2002","Speed Skating","10000m","stříbro","NED","Gianni ROMME","00:13:10.03"
"690","2002","Speed Skating","10000m","bronz","NOR","Lasse SAETRE","00:13:16.92"
"691","1998","Alpine Skiing","Alpine Combined","zlato","AUT","Mario REITER","3:08.06"
"692","1998","Alpine Skiing","Alpine Combined","stříbro","NOR","Lasse KJUS","3:08.65"
"693","1998","Alpine Skiing","Alpine Combined","bronz","AUT","Christian MAYER","3:10.11"
"694","1998","Alpine Skiing","Alpine Combined","zlato","GER","Katja SEIZINGER","2:40.74"
"695","1998","Alpine Skiing","Alpine Combined","stříbro","GER","Martina ERTL","2:40.92"
"696","1998","Alpine Skiing","Alpine Combined","bronz","GER","Hilde GERG","2:41.50"
"697","1998","Alpine Skiing","Downhill","zlato","FRA","Jean-Luc CRETIER","1:50.11"
"698","1998","Alpine Skiing","Downhill","stříbro","NOR","Lasse KJUS","1:50.51"
"699","1998","Alpine Skiing","Downhill","bronz","AUT","Hannes TRINKL","1:50.63"
"700","1998","Alpine Skiing","Downhill","zlato","GER","Katja SEIZINGER","1:28.89"
"701","1998","Alpine Skiing","Downhill","stříbro","SWE","Pernilla WIBERG","1:29.18"
"702","1998","Alpine Skiing","Downhill","bronz","FRA","Florence MASNADA","1:29.37"
"703","1998","Alpine Skiing","Slalom","zlato","NOR","Hans-Petter BURAAS","1:49.31"
"704","1998","Alpine Skiing","Slalom","stříbro","NOR","Ole Christian FURUSETH","1:50.64"
"705","1998","Alpine Skiing","Slalom","bronz","AUT","Thomas SYKORA","1:50.68"
"706","1998","Alpine Skiing","Slalom","zlato","GER","Hilde GERG","1:32.40"
"707","1998","Alpine Skiing","Slalom","stříbro","ITA","Deborah COMPAGNONI","1:32.46"
"708","1998","Alpine Skiing","Slalom","bronz","AUS","Zali STEGGALL","1:32.67"
"709","1998","Alpine Skiing","Giant Slalom","zlato","AUT","Hermann MAIER","2:38.51"
"710","1998","Alpine Skiing","Giant Slalom","stříbro","AUT","Stephan EBERHARTER","2:39.36"
"711","1998","Alpine Skiing","Giant Slalom","bronz","SUI","Michael VON GRUENIGEN","2:39.69"
"712","1998","Alpine Skiing","Giant Slalom","zlato","ITA","Deborah COMPAGNONI","2:50.59"
"713","1998","Alpine Skiing","Giant Slalom","stříbro","AUT","Alexandra MEISSNITZER","2:52.39"
"714","1998","Alpine Skiing","Giant Slalom","bronz","GER","Katja SEIZINGER","2:52.61"
"715","1998","Alpine Skiing","Super-G","zlato","AUT","Hermann MAIER","1:34.82"
"716","1998","Alpine Skiing","Super-G","stříbro","AUT","Hans KNAUSS
Didier CUCHE","1:35.43"
"717","1998","Alpine Skiing","Super-G","bronz","","",""
"718","1998","Alpine Skiing","Super-G","zlato","USA","Picabo STREET","1:18.02"
"719","1998","Alpine Skiing","Super-G","stříbro","AUT","Michaela DORFMEISTER","1:18.03"
"720","1998","Alpine Skiing","Super-G","bronz","AUT","Alexandra MEISSNITZER","1:18.09"
"721","1998","Bobsleigh","Two-man","zlato","CAN","Pierre LUEDERS
Antonio TARTAGLIA
Guenther HUBER
David MACEACHERN","3:37.24"
"722","1998","Bobsleigh","Two-man","stříbro","","",""
"723","1998","Bobsleigh","Two-man","bronz","GER","Christoph LANGEN
Markus ZIMMERMANN","3:37.89"
"724","1998","Bobsleigh","Four-man","zlato","GER","Markus ZIMMERMANN
Marco JAKOBS
Olaf HAMPEL
Christoph LANGEN","2:39.41"
"725","1998","Bobsleigh","Four-man","stříbro","SUI","Markus WASSER
Markus NUESSLI
Marcel ROHNER
Beat SEITZ","2:40.01"
"726","1998","Bobsleigh","Four-man","bronz","FRA","Emanuel HOSTACHE
Eric LE CHANONY
Sean OLSSON
Dean WARD
Courtney RUMBOLT
Paul ATTWOOD
Max ROBERT
Bruno MINGEON","2:40.06"
"727","1998","Biathlon","7.5km","zlato","RUS","Galina KOUKLEVA","23:08.0"
"728","1998","Biathlon","7.5km","stříbro","GER","Uschi DISL","23:08.7"
"729","1998","Biathlon","7.5km","bronz","GER","Katrin APEL","23:32.4"
"730","1998","Biathlon","10km","zlato","NOR","Ole Einar BJOERNDALEN","27:16.2"
"731","1998","Biathlon","10km","stříbro","NOR","Frode ANDRESEN","28:17.8"
"732","1998","Biathlon","10km","bronz","FIN","Ville RAIKKONEN","28:21.7"
"733","1998","Biathlon","15km","zlato","BUL","Ekaterina DAFOVSKA","54:52.0"
"734","1998","Biathlon","15km","stříbro","UKR","Olena PETROVA","55:09.8"
"735","1998","Biathlon","15km","bronz","GER","Uschi DISL","55:17.9"
"736","1998","Biathlon","20km","zlato","NOR","Halvard HANEVOLD","56:16.4"
"737","1998","Biathlon","20km","stříbro","ITA","Pier Alberto CARRARA","56:21.9"
"738","1998","Biathlon","20km","bronz","BLR","Aleksei AIDAROV","56:46.5"
"739","1998","Biathlon","4x7.5km Relay","zlato","GER","Frank LUCK
Peter SENDEL
Sven FISCHER
Ricco GROSS","1h21:36.2"
"740","1998","Biathlon","4x7.5km Relay","stříbro","NOR","Halvard HANEVOLD
Dag BJOERNDALEN
Ole Einar BJOERNDALEN
Egil GJELLAND","1h21:56.3"
"741","1998","Biathlon","4x7.5km Relay","bronz","RUS","Victor MAIGOUROV
Sergei TARASOV
Vladimir DRATSCHEV
Pavel MOUSLIMOV","1h22:19.3"
"742","1998","Biathlon","4x7.5km Relay","zlato","GER","Martina ZELLNER
Katrin APEL
Petra BEHLE
Uschi DISL","1h40:13.6"
"743","1998","Biathlon","4x7.5km Relay","stříbro","RUS","Olga MELNIK
Galina KOUKLEVA
Albina AKHATOVA
Olga ROMASKO","1h40:25.2"
"744","1998","Biathlon","4x7.5km Relay","bronz","NOR","Ann Elen SKJELBREID
Annette SIKVELAND
Liv Grete POIREE
Gunn Margit ANDREASSEN","1h40:37.3"
"745","1998","Cross Country Skiing","5km","zlato","RUS","Larissa LAZUTINA","17:37.9"
